커피_매출액,커피_한잔_가격,일일_유동인구,프로모션_할인율,SNS_언급량,영업시간,경쟁점포_거리_km,원두_품질점수,휴일까지_남은일수,평균기온,매장_분위기평점,멤버십가입여부,모바일주문여부,상권유형
4704.83,4.6,263.0,0.106,25.0,13.31,1.58,70.2,39.6,24.2,,회원,지원,Business
3547.8,3.58,165.0,0.046,,15.19,0.8,70.0,34.9,18.3,3.9,회원,미지원,Business
4360.15,4.41,222.0,0.133,,13.81,1.26,79.2,50.9,7.0,3.7,회원,미지원,Residential
2056.86,5.27,239.0,0.001,21.0,13.69,1.18,71.6,37.9,15.5,4.2,비회원,미지원,Residential
1632.38,5.04,154.0,0.02,,11.06,1.32,72.9,9.9,18.9,3.3,비회원,지원,Business
4364.98,3.73,197.0,0.074,,15.29,0.24,70.2,18.9,24.7,4.5,비회원,지원,Residential
1542.94,4.87,38.0,0.108,22.0,10.22,1.8,62.5,44.0,23.6,3.7,회원,지원,Tourist
2730.34,4.82,149.0,0.058,,9.64,0.24,95.0,44.3,15.6,3.3,회원,미지원,Business
2922.7,4.71,187.0,0.113,,10.91,0.02,78.2,59.2,15.6,3.3,비회원,지원,Business
5222.78,4.48,138.0,0.179,,13.2,1.47,86.8,37.6,22.2,3.8,비회원,지원,Residential
2383.75,4.9,282.0,0.044,16.0,14.89,0.19,66.1,54.0,13.8,3.5,회원,지원,Business
2018.52,4.92,128.0,0.018,,9.06,2.21,87.1,3.3,24.0,4.1,비회원,미지원,Residential
4276.53,4.12,178.0,0.059,,14.51,3.01,71.8,34.0,13.4,3.8,회원,지원,Business
5376.66,4.77,207.0,0.109,,14.5,4.34,79.2,55.2,28.9,3.6,비회원,지원,Residential
4575.04,4.39,272.0,0.068,18.0,12.7,1.64,82.9,17.2,19.6,4.0,회원,지원,Residential
4060.2,3.61,128.0,0.024,,14.09,0.99,87.1,9.3,4.3,3.5,회원,미지원,Business
3372.7,4.16,258.0,0.143,,9.46,0.65,74.6,21.0,22.5,4.1,회원,미지원,Business
3042.59,3.56,201.0,0.076,20.0,9.36,1.01,67.0,47.5,19.8,4.0,비회원,지원,Residential
2655.1,5.09,151.0,0.054,,14.9,0.32,74.9,5.1,21.4,,비회원,지원,Business
4823.58,4.71,223.0,0.12,27.0,11.99,0.64,79.7,36.0,33.8,,회원,지원,Residential
3430.04,4.29,210.0,0.092,22.0,9.97,1.9,70.7,8.1,16.2,3.4,회원,지원,Business
2202.14,5.35,170.0,0.083,,13.51,0.37,71.6,26.1,7.1,,회원,지원,Business
1531.72,4.54,203.0,0.017,17.0,15.14,0.46,62.6,58.0,26.9,4.2,비회원,미지원,Business
4656.6,3.64,181.0,0.149,,13.06,2.08,67.2,11.7,5.5,3.2,비회원,지원,Business
2896.2,4.24,206.0,0.07,,10.78,0.29,78.6,2.0,12.8,3.5,회원,미지원,Business
2166.36,5.48,233.0,0.047,20.0,11.87,0.42,82.1,25.6,18.3,4.6,비회원,미지원,Residential
4567.97,4.1,279.0,0.073,,14.02,0.03,83.8,34.7,11.7,4.4,비회원,미지원,Residential
3247.57,4.67,138.0,0.048,,8.54,1.91,93.2,17.9,17.6,3.1,비회원,지원,Residential
5086.77,4.95,307.0,0.21,,9.74,1.44,86.9,32.5,17.0,3.8,회원,지원,Business
1822.69,4.85,102.0,0.055,18.0,11.7,1.78,73.8,57.2,28.8,4.1,비회원,지원,Business
2248.25,5.97,192.0,0.084,27.0,12.83,0.36,67.5,18.7,1.0,4.4,회원,지원,Business
3110.39,3.79,229.0,0.036,,10.71,1.74,73.0,18.6,18.6,3.9,비회원,미지원,Business
3309.54,3.85,214.0,0.097,,10.39,1.36,70.6,29.0,11.6,4.1,비회원,미지원,Residential
4160.08,3.8,169.0,0.055,30.0,8.33,0.68,76.3,30.9,14.1,,회원,지원,Residential
2956.79,4.32,190.0,0.07,21.0,8.26,0.86,82.1,0.1,22.8,4.4,비회원,지원,Business
2004.31,5.16,175.0,0.07,,10.23,1.26,78.8,37.0,21.6,3.7,비회원,미지원,Residential
5199.99,3.88,171.0,0.135,20.0,12.24,1.02,87.6,59.8,20.4,,회원,지원,Business
3458.34,5.17,242.0,0.07,,12.45,1.54,78.2,17.5,9.2,3.3,비회원,지원,Residential
2345.65,4.52,218.0,0.037,22.0,11.95,0.3,64.8,37.8,26.3,3.6,비회원,지원,Residential
3491.68,3.83,165.0,0.165,19.0,11.28,1.17,70.4,0.3,11.9,,회원,미지원,Business
3964.37,3.45,245.0,0.077,,10.02,0.9,78.2,36.3,27.7,3.7,회원,미지원,Residential
3577.1,3.58,215.0,0.057,19.0,11.21,0.93,76.8,26.8,13.5,,비회원,미지원,Residential
4348.3,4.1,241.0,0.165,17.0,9.11,0.95,85.5,31.8,25.2,4.3,비회원,지원,Business
3683.14,4.4,231.0,0.125,21.0,8.92,3.2,75.1,32.6,18.7,4.0,비회원,미지원,Residential
2486.32,5.31,159.0,0.1,,10.4,2.56,73.6,10.6,6.3,,회원,지원,Residential
2270.28,4.98,172.0,0.037,18.0,15.96,1.49,62.4,46.2,15.5,4.1,회원,지원,Residential
3804.99,4.0,237.0,0.099,,10.61,1.89,68.5,33.3,29.9,3.5,비회원,지원,Residential
3052.87,4.75,231.0,0.026,,15.49,0.07,77.5,16.2,23.8,3.1,회원,미지원,Business
2544.71,5.49,199.0,0.084,,11.14,2.04,76.7,56.2,15.0,3.1,회원,지원,Business
2133.58,5.62,206.0,0.038,21.0,11.51,1.0,79.8,0.8,27.1,3.9,비회원,지원,Business
4590.02,4.31,264.0,0.084,,14.38,0.57,78.6,43.6,20.0,4.4,비회원,지원,Business
1099.55,5.07,170.0,0.125,15.0,8.75,0.23,74.1,22.9,29.5,3.7,비회원,미지원,Tourist
1447.26,5.33,227.0,0.155,,9.46,0.12,67.0,31.4,17.4,4.4,회원,미지원,Business
3621.76,3.6,190.0,0.094,13.0,15.79,0.07,75.0,17.5,16.0,3.9,회원,미지원,Residential
3633.09,4.19,189.0,0.101,,12.05,0.26,74.6,19.3,24.9,2.5,비회원,지원,Residential
2021.38,5.83,255.0,0.124,,8.35,0.05,86.0,0.9,19.8,,회원,미지원,Residential
3834.73,4.32,241.0,0.099,22.0,8.38,1.98,85.6,43.8,21.9,3.5,회원,미지원,Business
6051.0,2.74,241.0,0.139,22.0,15.26,0.43,71.2,42.6,12.0,3.3,비회원,미지원,Business
4633.08,4.43,265.0,0.132,,14.99,0.69,70.0,39.3,26.2,4.2,비회원,지원,Business
1282.32,5.17,201.0,0.042,13.0,11.67,2.6,64.2,52.7,24.9,,회원,지원,Tourist
1809.37,4.5,234.0,0.037,,9.31,0.18,73.7,54.1,27.5,3.8,비회원,미지원,Residential
2658.13,4.93,184.0,0.022,20.0,14.64,2.71,71.2,33.4,8.5,3.9,비회원,미지원,Business
3854.55,5.06,216.0,0.059,,10.6,1.53,95.0,41.1,9.9,3.3,비회원,지원,Business
3369.76,4.29,193.0,0.154,,11.35,0.63,66.1,0.7,12.8,4.9,비회원,지원,Residential
3251.99,4.19,205.0,0.092,18.0,13.46,0.19,75.5,50.8,16.3,3.9,회원,미지원,Business
3027.99,4.59,230.0,0.115,,10.83,0.14,69.9,49.0,8.7,3.9,비회원,지원,Residential
3226.7,4.61,159.0,0.032,24.0,13.03,0.61,75.2,1.2,22.5,3.7,회원,지원,Residential
4784.55,4.53,305.0,0.115,,15.08,0.23,72.3,32.6,14.9,2.8,비회원,지원,Residential
3618.34,4.56,150.0,0.047,,14.38,0.47,81.5,54.4,26.8,3.4,회원,지원,Residential
3204.02,4.05,139.0,0.127,,11.05,0.08,78.5,10.9,32.7,3.1,비회원,미지원,Residential
3023.86,4.95,258.0,0.038,,10.3,1.36,81.2,21.2,13.8,3.0,회원,지원,Business
1794.57,4.86,240.0,0.031,,10.28,0.24,69.0,19.9,12.6,2.9,회원,지원,Residential
5564.3,3.7,231.0,0.134,,10.79,2.12,83.6,21.4,23.2,3.4,회원,지원,Residential
3004.31,4.27,231.0,0.099,,11.95,0.37,71.1,2.5,18.7,3.8,회원,미지원,Business
1644.76,4.56,199.0,0.023,,11.33,2.4,63.8,16.7,20.6,2.9,비회원,미지원,Business
544.17,4.18,155.0,0.057,12.0,9.06,0.32,73.5,17.7,27.3,4.2,회원,미지원,Business
1624.94,4.88,204.0,0.017,,9.31,1.92,75.9,52.0,16.1,4.0,회원,미지원,Residential
1660.57,4.46,166.0,0.087,17.0,10.74,0.61,65.0,21.1,10.5,3.7,회원,지원,Business
3748.56,4.6,249.0,0.063,,12.5,1.31,82.0,26.8,9.4,5.0,회원,미지원,Residential
3071.39,4.26,193.0,0.067,25.0,12.74,0.06,68.5,22.8,16.8,3.7,비회원,미지원,Business
3775.93,3.3,159.0,0.117,,11.89,1.03,68.2,7.2,15.5,4.3,비회원,미지원,Residential
4288.25,3.27,184.0,0.015,,13.91,0.24,75.0,59.4,24.1,3.9,회원,지원,Residential
3341.8,4.85,221.0,0.015,,13.9,1.0,81.9,49.5,27.7,,회원,지원,Business
1558.46,4.66,172.0,0.091,,11.42,0.23,65.3,32.5,27.7,4.5,비회원,미지원,Business
2542.34,4.76,159.0,0.008,25.0,9.0,0.86,82.5,28.6,13.1,3.6,회원,지원,Business
1577.06,4.58,212.0,0.027,,12.24,0.18,57.7,39.0,12.4,3.6,회원,지원,Residential
3690.12,4.63,212.0,0.079,28.0,11.05,0.37,77.6,19.6,5.3,3.0,회원,미지원,Residential
220.13,5.08,175.0,0.016,16.0,9.1,1.36,66.0,3.0,18.0,3.9,비회원,지원,Business
4392.51,4.77,176.0,0.087,,15.85,5.64,68.6,24.3,24.2,4.2,비회원,미지원,Residential
3792.55,5.12,212.0,0.122,,10.96,0.89,88.9,59.0,13.1,3.8,비회원,지원,Business
3209.42,4.6,128.0,0.09,26.0,13.01,1.74,67.1,10.9,7.6,4.6,회원,미지원,Residential
2738.69,4.32,130.0,0.049,,11.92,1.16,74.6,31.7,31.2,3.9,회원,지원,Business
1134.88,4.62,164.0,0.041,21.0,9.14,1.03,66.5,0.5,13.1,4.5,회원,미지원,Residential
3237.92,4.0,189.0,0.117,18.0,8.44,0.1,81.2,7.3,17.2,3.7,회원,지원,Residential
3646.04,4.27,216.0,0.067,22.0,13.01,0.23,78.3,35.2,14.7,3.1,회원,미지원,Residential
3282.43,4.61,274.0,0.057,15.0,9.98,3.22,79.4,17.8,8.7,3.4,회원,지원,Business
2803.64,4.6,243.0,0.073,15.0,9.95,0.79,84.0,54.3,24.3,3.8,비회원,지원,Business
3246.45,4.44,192.0,0.057,14.0,15.66,1.43,72.3,24.4,5.8,3.4,비회원,지원,Residential
3631.37,3.67,199.0,0.013,,11.69,1.13,83.6,12.5,25.9,2.8,비회원,미지원,Business
3093.31,4.88,150.0,0.153,,8.24,0.71,86.9,32.7,19.9,2.6,비회원,지원,Business
3551.21,5.0,199.0,0.141,22.0,10.72,0.74,77.3,47.7,16.1,4.4,비회원,지원,Residential
2235.97,5.49,186.0,0.181,16.0,12.68,1.22,66.1,1.2,16.2,4.0,비회원,지원,Business
1789.75,4.77,216.0,0.052,21.0,10.63,0.23,65.4,30.3,21.2,4.0,비회원,지원,Business
1935.11,4.5,159.0,0.16,14.0,8.21,0.73,78.5,46.4,13.5,3.9,회원,미지원,Residential
3616.02,3.89,226.0,0.101,,11.55,0.89,66.1,6.2,19.2,,비회원,지원,Residential
1634.12,5.4,277.0,0.028,17.0,8.85,6.31,64.3,54.2,11.8,4.3,회원,미지원,Business
4383.62,4.65,195.0,0.138,,12.95,0.65,82.1,15.9,2.9,2.8,회원,지원,Residential
4948.53,4.62,220.0,0.175,24.0,12.96,1.55,71.3,10.2,22.3,2.5,회원,지원,Residential
5013.96,4.35,235.0,0.17,20.0,8.3,0.22,94.4,35.4,35.1,3.7,회원,지원,Tourist
2477.17,4.31,180.0,0.098,,10.33,0.1,69.7,10.5,22.0,3.9,회원,지원,Business
2821.5,4.91,211.0,0.059,17.0,11.31,3.08,71.0,40.8,17.7,3.3,회원,지원,Tourist
4946.61,3.89,201.0,0.151,19.0,12.4,1.97,77.9,29.4,15.2,2.8,비회원,지원,Business
1794.39,5.48,205.0,0.012,27.0,10.37,0.57,76.6,6.6,15.4,4.2,비회원,미지원,Business
1399.44,5.34,161.0,0.043,,10.3,1.05,74.3,54.7,15.2,3.6,비회원,지원,Business
3608.76,4.29,201.0,0.032,,15.86,0.22,74.1,40.4,19.4,4.2,회원,지원,Business
4581.78,3.98,225.0,0.053,20.0,8.33,1.84,95.0,32.8,1.3,4.6,비회원,지원,Residential
7022.05,3.29,273.0,0.106,,15.91,0.11,88.3,22.5,0.1,2.8,비회원,지원,Residential
4108.42,3.75,248.0,0.058,,8.38,2.12,81.7,8.1,21.2,3.9,비회원,지원,Business
1789.41,4.94,308.0,0.034,18.0,10.31,1.19,65.2,42.5,16.6,3.9,회원,지원,Business
2641.31,4.69,162.0,0.017,28.0,11.95,0.49,74.4,48.8,11.1,4.2,회원,미지원,Business
3036.51,4.8,244.0,0.07,,9.15,2.98,80.3,7.5,10.9,3.5,비회원,미지원,Business
5444.11,3.39,209.0,0.097,,9.08,6.41,81.0,29.7,14.1,3.8,비회원,미지원,Business
4106.32,4.26,309.0,0.047,21.0,10.05,0.44,85.2,29.1,15.1,,회원,지원,Business
2712.11,5.32,160.0,0.115,13.0,15.79,2.46,69.9,21.0,28.0,4.1,회원,지원,Business
2248.71,4.44,158.0,0.025,,11.04,2.08,74.7,47.4,10.5,4.7,비회원,미지원,Business
4601.79,3.74,170.0,0.193,,12.53,2.06,69.0,6.0,23.3,,회원,미지원,Residential
5954.62,4.43,94.0,0.16,22.0,13.63,4.73,85.7,12.3,22.1,3.9,비회원,지원,Business
4335.63,4.04,174.0,0.06,,13.94,1.0,80.6,0.1,16.5,3.7,비회원,지원,Business
3414.57,4.7,162.0,0.108,,13.5,1.68,70.9,22.4,23.4,3.7,비회원,지원,Business
3174.92,4.51,208.0,0.075,21.0,10.7,2.6,76.8,17.5,21.1,4.2,회원,미지원,Business
1911.18,4.83,217.0,0.068,,8.89,0.98,75.4,52.0,9.2,3.9,비회원,미지원,Residential
2838.88,3.77,294.0,0.05,15.0,10.25,0.99,68.0,44.7,13.8,3.2,비회원,지원,Residential
3438.86,4.23,248.0,0.029,21.0,9.68,0.58,82.4,5.1,20.7,4.4,회원,지원,Residential
2253.96,5.15,171.0,0.08,,9.09,2.28,75.6,44.5,13.8,4.2,회원,지원,Residential
1638.81,3.69,155.0,0.036,15.0,8.2,1.74,70.8,40.5,22.3,4.7,회원,지원,Business
4713.34,3.9,225.0,0.079,23.0,15.49,0.9,67.8,16.9,26.1,4.2,비회원,지원,Business
3164.88,4.62,134.0,0.083,16.0,15.37,0.82,81.8,0.9,17.8,3.7,비회원,미지원,Residential
2969.31,4.67,292.0,0.088,,8.4,0.11,77.1,6.9,13.8,3.7,회원,지원,Residential
1767.49,4.21,259.0,0.042,18.0,9.38,0.01,69.4,15.0,13.0,4.4,회원,미지원,Residential
3112.23,4.33,177.0,0.121,23.0,9.12,1.13,71.0,49.0,15.4,3.3,회원,지원,Business
1614.3,4.82,114.0,0.098,,10.25,0.81,75.0,27.9,15.0,3.3,회원,미지원,Business
2523.05,5.01,268.0,0.051,21.0,9.63,2.38,75.5,55.1,24.0,3.9,회원,미지원,Business
4501.83,3.86,194.0,0.044,,15.57,1.17,76.5,47.3,13.9,,비회원,지원,Business
2743.47,4.72,262.0,0.141,,8.67,4.14,60.8,17.2,16.8,4.0,비회원,미지원,Residential
1182.57,5.41,120.0,0.076,,9.69,0.33,76.0,50.7,23.5,4.1,비회원,지원,Business
3303.65,4.43,170.0,0.073,,8.65,6.93,65.2,7.0,15.7,3.7,비회원,지원,Business
4938.91,3.85,200.0,0.008,,15.84,0.53,86.4,2.2,14.9,4.6,회원,지원,Residential
5964.26,3.82,202.0,0.122,,15.35,1.54,83.3,36.5,24.1,4.5,비회원,지원,Business
5602.7,4.4,177.0,0.165,27.0,13.73,1.05,84.3,20.5,26.1,3.3,회원,미지원,Business
1046.52,5.12,231.0,0.061,20.0,11.41,0.67,55.3,19.8,18.3,4.2,회원,지원,Business
935.05,4.48,147.0,0.013,21.0,9.52,0.23,72.6,41.2,29.6,4.4,회원,미지원,Business
1646.4,4.61,193.0,0.059,,9.77,0.22,74.4,51.0,19.2,,회원,미지원,Business
4009.64,3.9,206.0,0.089,16.0,11.54,1.86,79.6,19.3,24.1,3.5,회원,지원,Residential
4122.11,5.09,226.0,0.09,21.0,14.15,0.71,82.2,19.5,31.7,3.1,회원,지원,Residential
5378.1,3.81,236.0,0.084,17.0,10.12,4.88,85.3,32.0,13.6,3.5,회원,지원,Residential
1112.24,4.2,144.0,0.03,,10.49,0.59,56.5,39.2,14.4,,회원,지원,Residential
4191.84,4.88,123.0,0.122,,12.8,6.16,68.6,12.2,23.6,4.3,회원,지원,Residential
3795.81,3.28,264.0,0.053,22.0,9.9,0.34,75.5,54.8,16.9,3.6,회원,미지원,Business
3313.6,4.6,217.0,0.019,,12.67,0.16,81.6,39.3,11.4,4.1,비회원,지원,Residential
3484.69,3.88,163.0,0.096,,11.1,0.56,81.4,37.5,15.6,4.6,비회원,미지원,Business
3492.59,4.51,278.0,0.039,,8.27,3.25,78.8,54.3,8.1,3.9,비회원,지원,Business
2645.73,4.29,206.0,0.045,20.0,11.22,1.11,69.9,54.4,18.2,4.5,비회원,지원,Business
2282.4,5.76,259.0,0.034,,15.36,0.22,70.9,8.1,19.1,3.6,비회원,지원,Business
1404.7,4.26,203.0,0.03,14.0,10.34,0.34,70.0,8.7,25.6,4.0,회원,지원,Residential
1591.37,5.61,303.0,0.052,,10.58,0.56,67.2,45.7,26.3,,회원,지원,Business
1019.01,4.85,288.0,0.044,17.0,8.53,1.34,67.0,57.4,15.8,3.4,비회원,미지원,Business
2619.68,4.02,188.0,0.025,22.0,12.92,0.61,66.3,40.0,32.8,3.6,회원,미지원,Residential
3947.73,4.7,249.0,0.024,,14.79,2.06,77.7,24.7,10.5,4.6,회원,지원,Business
4007.26,4.32,232.0,0.095,25.0,10.82,1.44,76.0,41.0,8.2,3.6,회원,미지원,Residential
3394.98,4.65,268.0,0.048,23.0,9.92,3.11,67.6,13.7,9.3,2.8,회원,지원,Residential
3985.04,4.07,152.0,0.137,,15.65,1.04,61.3,59.9,9.8,3.6,비회원,지원,Business
1920.18,5.51,234.0,0.052,,13.96,0.6,72.0,25.9,23.3,3.3,비회원,미지원,Business
5753.07,5.06,253.0,0.067,,12.54,8.39,86.8,55.9,29.8,4.1,회원,미지원,Business
2162.11,4.52,112.0,0.031,27.0,10.44,0.66,75.0,25.8,30.1,4.2,비회원,미지원,Business
1140.42,5.54,141.0,0.016,,9.77,0.84,81.4,55.7,4.8,4.0,비회원,지원,Business
2656.1,4.54,98.0,0.034,,13.73,2.48,76.4,20.1,24.0,3.6,회원,미지원,Business
2062.86,5.16,187.0,0.092,,12.17,0.14,74.5,45.6,28.7,3.8,회원,미지원,Residential
2092.39,4.52,236.0,0.017,,12.16,0.73,63.2,57.1,25.0,3.6,비회원,지원,Business
1672.02,4.74,275.0,0.07,,8.59,0.13,71.7,38.8,13.6,2.9,비회원,미지원,Business
2749.04,4.45,204.0,0.083,23.0,12.1,0.23,70.7,40.7,19.2,3.7,비회원,미지원,Business
5262.26,4.56,281.0,0.162,,14.58,0.01,86.8,6.2,11.3,5.0,비회원,미지원,Residential
3560.3,4.6,131.0,0.064,26.0,15.57,0.01,76.5,28.5,23.2,3.2,회원,미지원,Business
2315.52,4.1,115.0,0.035,18.0,8.85,0.72,85.2,53.2,7.8,2.7,비회원,지원,Business
4776.69,4.26,197.0,0.123,,13.05,2.48,84.0,14.5,22.8,4.7,회원,미지원,Business
3689.85,4.37,219.0,0.061,24.0,12.55,1.33,68.2,47.3,13.0,4.1,회원,지원,Business
3520.62,4.64,198.0,0.046,22.0,15.12,1.51,75.0,40.5,20.5,4.0,회원,미지원,Business
4183.99,4.48,97.0,0.043,21.0,14.01,1.1,88.5,13.4,16.2,3.6,회원,지원,Tourist
4509.47,5.2,196.0,0.134,,15.72,2.57,79.5,17.0,15.5,3.9,비회원,미지원,Residential
4269.37,5.01,135.0,0.077,,15.68,3.19,79.0,25.7,24.6,3.8,회원,지원,Residential
3270.8,4.38,233.0,0.043,18.0,9.81,2.84,82.3,7.5,28.7,4.6,회원,미지원,Residential
4188.94,5.33,218.0,0.112,,13.8,2.51,78.8,54.8,11.9,,회원,지원,Residential
1929.22,5.62,153.0,0.035,22.0,12.24,0.3,79.4,44.4,19.3,4.2,비회원,지원,Residential
5508.5,3.27,174.0,0.176,28.0,9.72,1.35,77.4,21.9,10.4,3.4,비회원,미지원,Business
1672.19,5.06,147.0,0.072,,9.56,1.31,72.3,18.0,14.8,3.9,비회원,지원,Residential
2650.21,4.08,197.0,0.146,18.0,8.65,1.13,66.5,41.4,12.9,3.4,회원,지원,Business
2813.05,4.98,248.0,0.022,26.0,14.36,0.98,60.1,25.5,9.2,4.5,회원,지원,Business
1776.81,5.24,151.0,0.104,,10.6,0.14,72.4,13.8,25.4,3.4,회원,지원,Business
4886.07,3.97,225.0,0.123,17.0,14.86,0.16,78.5,25.8,18.7,3.7,회원,지원,Residential
5737.42,3.39,173.0,0.135,,12.87,3.49,76.9,52.3,14.2,3.1,비회원,지원,Business
2958.15,5.0,160.0,0.024,20.0,13.39,1.49,80.1,4.1,17.6,3.5,회원,지원,Residential
3203.5,4.58,195.0,0.155,23.0,10.33,0.46,74.0,22.1,26.4,3.5,회원,미지원,Residential
5631.09,3.5,148.0,0.153,22.0,11.66,0.49,95.0,57.7,25.2,3.7,비회원,미지원,Business
2494.39,6.02,172.0,0.103,,11.3,1.41,91.2,0.9,21.9,3.3,회원,미지원,Business
1686.01,4.87,140.0,0.141,,9.89,0.78,62.9,53.4,13.3,,회원,지원,Business
3875.11,4.9,298.0,0.104,17.0,14.66,0.87,80.3,22.5,18.8,3.7,비회원,미지원,Business
2384.93,5.32,202.0,0.005,,12.98,0.09,82.8,11.4,10.4,3.5,회원,지원,Residential
1232.2,4.15,165.0,0.089,23.0,8.3,0.22,58.0,0.9,17.4,4.3,회원,미지원,Residential
3684.28,4.58,211.0,0.053,20.0,14.56,0.75,76.3,4.2,24.8,5.0,비회원,지원,Business
3685.18,3.71,194.0,0.057,,8.85,1.8,79.1,10.3,26.1,3.6,비회원,지원,Residential
3224.03,4.14,189.0,0.12,,11.23,0.07,75.0,1.5,13.5,3.7,비회원,미지원,Residential
2452.22,4.73,231.0,0.06,14.0,12.57,0.61,78.1,20.2,23.8,3.4,회원,지원,Business
2638.77,3.5,238.0,0.077,14.0,8.06,1.78,75.6,2.7,22.4,4.2,비회원,미지원,Residential
3795.19,4.12,173.0,0.055,,13.22,2.36,80.6,41.5,16.3,4.4,비회원,미지원,Business
5132.33,3.94,171.0,0.067,23.0,13.28,0.32,87.4,49.1,23.2,,비회원,지원,Residential
3750.17,4.59,186.0,0.072,22.0,13.22,1.97,81.2,53.2,26.6,3.5,비회원,미지원,Business
2882.58,4.84,85.0,0.018,,9.31,4.67,84.4,32.9,24.0,,비회원,지원,Residential
1918.59,4.95,124.0,0.065,,10.05,3.56,66.5,56.8,10.6,4.2,비회원,지원,Business
3322.29,5.1,268.0,0.094,12.0,9.98,2.34,91.2,0.3,16.1,4.7,비회원,지원,Residential
4518.78,5.32,282.0,0.104,,15.68,1.87,77.5,8.0,20.8,3.5,비회원,지원,Business
840.15,4.86,188.0,0.045,17.0,8.54,0.4,71.9,17.6,12.4,4.3,회원,지원,Business
2943.28,5.63,229.0,0.094,21.0,11.43,1.51,78.3,47.3,28.9,3.9,회원,지원,Residential
3603.69,4.57,216.0,0.038,,14.97,1.55,70.6,53.1,20.2,2.8,비회원,지원,Residential
4400.97,4.4,354.0,0.025,20.0,14.16,0.78,76.1,37.1,14.8,4.7,회원,지원,Residential
3931.62,4.86,256.0,0.075,,14.58,1.02,77.4,23.0,14.4,4.0,회원,미지원,Tourist
4265.64,4.37,194.0,0.076,,15.78,1.78,69.5,40.0,13.1,4.2,비회원,지원,Residential
2979.68,5.61,152.0,0.089,,11.1,4.56,76.2,10.9,22.9,4.4,비회원,지원,Residential
236.39,5.18,120.0,0.038,16.0,10.48,0.52,69.4,27.5,23.8,4.2,회원,지원,Business
1209.29,4.95,210.0,0.054,,8.25,0.42,69.3,30.5,13.4,,비회원,지원,Business
941.56,4.58,162.0,0.009,,9.2,1.38,66.9,6.3,28.3,4.2,회원,미지원,Tourist
3598.81,4.26,129.0,0.059,31.0,12.5,0.21,72.0,2.0,15.3,4.1,회원,미지원,Residential
2083.23,4.92,168.0,0.219,16.0,9.26,1.31,70.6,45.0,12.4,2.8,회원,미지원,Business
3713.05,3.82,146.0,0.029,,13.89,0.14,78.8,32.1,21.3,4.8,회원,지원,Residential
2887.69,5.42,284.0,0.144,,8.3,1.01,83.8,19.9,9.6,3.6,회원,미지원,Residential
2362.41,4.39,244.0,0.07,13.0,10.08,1.45,80.3,26.2,8.4,4.4,회원,미지원,Residential
3355.54,4.68,200.0,0.07,17.0,13.56,0.11,82.8,57.5,11.3,3.6,회원,지원,Residential
3221.15,3.95,274.0,0.025,17.0,10.04,0.35,82.1,23.1,12.5,3.5,비회원,지원,Business
3008.38,4.93,204.0,0.09,,13.83,0.61,67.6,6.2,23.2,3.8,회원,지원,Residential
3323.61,4.23,157.0,0.048,,15.97,0.69,72.3,27.8,8.9,5.0,회원,미지원,Business
5159.49,4.89,276.0,0.078,19.0,14.38,1.69,89.2,38.9,20.6,5.0,회원,지원,Residential
1316.91,4.95,227.0,0.052,18.0,10.73,1.13,70.6,0.7,23.9,3.5,비회원,미지원,Business
5701.55,4.11,148.0,0.033,27.0,15.2,0.72,89.8,19.9,28.1,4.5,비회원,지원,Residential
3145.89,3.83,190.0,0.079,25.0,8.41,0.9,71.7,23.6,14.6,3.8,회원,미지원,Residential
1582.29,5.42,156.0,0.091,22.0,13.8,0.02,58.6,27.8,15.1,5.0,회원,지원,Residential
1671.68,4.38,131.0,0.057,,8.19,2.21,73.0,18.1,32.3,4.5,비회원,미지원,Residential
1995.31,4.63,246.0,0.039,18.0,9.4,0.06,81.8,40.0,27.5,4.0,비회원,미지원,Residential
5726.42,4.79,295.0,0.046,,15.9,2.65,88.3,56.7,16.1,3.8,회원,지원,Business
2512.62,3.75,130.0,0.115,,10.89,1.17,63.2,54.8,26.0,4.2,비회원,미지원,Residential
3942.71,4.78,228.0,0.081,21.0,14.56,1.13,81.6,39.9,19.7,4.1,비회원,미지원,Business
2966.28,4.56,167.0,0.086,15.0,11.01,1.83,82.1,30.4,18.1,3.1,회원,지원,Residential
5544.86,4.11,176.0,0.086,,14.72,2.94,85.4,49.5,35.4,,회원,지원,Business
3534.99,3.81,170.0,0.014,,15.72,4.29,53.6,50.2,25.5,3.4,비회원,지원,Business
2976.74,4.86,157.0,0.032,,11.48,1.18,88.3,49.8,31.2,3.5,회원,지원,Business
3147.23,5.18,202.0,0.158,,12.47,0.24,78.5,9.5,10.6,4.5,회원,미지원,Residential
4728.14,4.61,158.0,0.015,29.0,13.03,3.16,78.7,1.5,30.6,3.9,회원,지원,Business
4248.28,3.64,214.0,0.051,17.0,15.48,0.06,83.3,59.0,16.9,3.5,비회원,미지원,Business
3389.78,3.87,197.0,0.133,,10.05,2.47,59.0,57.6,16.8,3.1,비회원,지원,Residential
4232.86,4.24,188.0,0.063,,12.89,1.71,83.1,33.9,20.7,,비회원,지원,Business
3582.44,5.44,155.0,0.041,,10.6,3.53,94.0,59.6,21.6,3.8,비회원,지원,Residential
2746.46,4.35,171.0,0.069,,9.74,3.42,64.1,46.2,25.4,4.8,비회원,지원,Residential
